T,BP_PID_OUT
0.0,5.0
0.1,11.435193061828613
0.2,17.388705253601074
0.30000000000000004,19.555824041366577
0.4,19.914356261491776
0.5,20.055407971143723
0.6000000000000001,20.13142190873623
0.7000000000000001,20.171959284693003
0.8,20.191966276615858
0.9,20.200053345412016
1.0,20.201244842261076
1.1,20.198480907827616
1.2000000000000002,20.193482164293528
1.3,20.18725661560893
1.4000000000000001,20.180392611771822
1.5,20.17323188856244
1.6,20.165973272174597
1.7000000000000002,20.15872772410512
1.8,20.15155841782689
1.9000000000000001,20.144498229026794
2.0,20.137562293559313
2.1,20.13075740262866
2.2,20.124082501977682
2.3000000000000003,20.117535579949617
2.4000000000000004,20.111111503094435
2.5,20.104803811758757
2.6,20.098606135696173
2.7,20.092511605471373
2.8000000000000003,20.08651397936046
2.9000000000000004,20.080607380717993
3.0,20.074785051867366
3.1,20.069039937108755
3.2,20.063366627320647
3.3000000000000003,20.057759515941143
3.4000000000000004,20.05221170373261
3.5,20.046718511730433
3.6,20.041273901239038
3.7,20.035872875712812
3.8000000000000003,20.030509003438056
3.9000000000000004,20.025177588686347
4.0,20.019874214194715
4.1000000000000005,20.01459240168333
4.2,20.00932761374861
4.3,20.005671199411154
4.4,20.003448067232966
4.5,20.002096030977555
4.6000000000000005,20.001274167909287
4.7,20.000774610438384
4.800000000000001,20.000470984145068
4.9,20.000286264519673
5.0,20.000174086184416
5.1000000000000005,20.000106031176983
5.2,20.000064151121478
5.300000000000001,20.000038723925172
5.4,20.000023766740924
5.5,20.000014792428374
5.6000000000000005,20.000008809553037
5.7,20.000005070255384
5.800000000000001,20.000002826676564
5.9,20.000002078816976
6.0,20.000001330957332
6.1000000000000005,20.000000583097687
6.2,20.000000583097687
6.300000000000001,20.000000583097687
6.4,20.000000583097687
6.5,20.000000583097687
6.6000000000000005,20.000000583097687
6.7,20.000000583097687
6.800000000000001,20.000000583097687
6.9,20.000000583097687
7.0,20.000000583097687
7.1000000000000005,20.000000583097687
7.2,20.000000583097687
7.300000000000001,20.000000583097687
7.4,20.000000583097687
7.5,20.000000583097687
7.6000000000000005,20.000000583097687
7.7,20.000000583097687
7.800000000000001,20.000000583097687
7.9,20.000000583097687
8.0,20.000000583097687
8.1,20.000000583097687
8.200000000000001,20.000000583097687
8.3,20.000000583097687
8.4,20.000000583097687
8.5,20.000000583097687
8.6,20.000000583097687
8.700000000000001,20.000000583097687
8.8,20.000000583097687
8.9,20.000000583097687
9.0,20.000000583097687
9.1,20.000000583097687
9.200000000000001,20.000000583097687
9.3,20.000000583097687
9.4,20.000000583097687
9.5,20.000000583097687
9.600000000000001,20.000000583097687
9.700000000000001,20.000000583097687
9.8,20.000000583097687
9.9,20.000000583097687
10.0,20.000000583097687
